Query,Intent,Aggregation,Paid Status,split
What is my first bill for lee advertising?,Bill,Min,None,train
What is the balance owed by diego rodriguez?,Sales,Total,FALSE,test
How much did we spend on norton lumber and building material in This quarter?,Expense,Total,TRUE,train
"Last fiscal year, what are my account payable?",Account Payable,Total,None,test
What is sushi by katsuyuki credit for Last month?,Sales,Total,FALSE,train
What are my account receivable This month to date?,Account Receivables,Total,None,train
How many pye's cakes invoices are still outstanding?,Invoice,Count,FALSE,test
How much money have we paid to edd This fiscal year to date?,Expense,Total,TRUE,train
What was our total income from sushi by katsuyuki in This month?,Sales,Total,None,train
"Since Last month, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What is the balance owed by rago travel agency?,Sales,Total,FALSE,test
What is the balance due from bill's windsurf shop?,Sales,Total,FALSE,test
When did sonnenschein family store first pay?,Invoice,Min,None,train
How much did we spend on hick hardware in This week?,Expense,Total,TRUE,train
What was our biggest expense Last quarter?,Expense,Max,None,train
How much money does kate whelan still owe?,Sales,Total,FALSE,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What is freeman sporting good credit for Last year?,Sales,Total,FALSE,train
"This quarter to date, what are my account receivable?",Account Receivables,Total,None,train
What was our total spend for united states treasury in the yesterday?,Expense,Total,None,train
What is my first revenue for duke basketball camp in the Last month?,Sales,Min,None,train
"In the Last month, what has been my average sales from bill's windsurf shop?",Sales,Average,None,train
What are my AP This month?,Account Payable,Total,None,train
"In the Last 7 days, what has been my last sales from john melton?",Sales,Max,None,train
What is the balance due from kate whelan?,Sales,Total,FALSE,test
When did travis waldron first pay?,Invoice,Min,None,train
"As of This year, how many invoices for mark cho remained unpaid?",Invoice,Count,FALSE,train
"This quarter, what are my AP?",Account Payable,Total,None,test
What was our total spend for hick hardware in the Last year?,Expense,Total,None,train
How much money did we spend on net expenses?,Expense,Total,None,train
What's the total number of invoices we've issued to freeman sporting goods?,Invoice,Count,None,train
What is the balance due from rondonuwu fruit and vegi?,Sales,Total,FALSE,test
What is my lowest sales for rondonuwu fruit and vegi in the This week to date?,Sales,Min,None,test
How many invoices were paid Last 12 months?,Invoice,Count,TRUE,train
What is my highest revenue for freeman sporting goods in the Last 12 months?,Sales,Max,None,train
"Since This fiscal year to date, how many invoices have been late?",Invoice,Count,FALSE,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
When was the last time mark cho paid you?,Invoice,Max,TRUE,train
"Last quarter, what are my AP?",Account Payable,Total,None,test
What is the balance owed by gevelber photography?,Sales,Total,FALSE,test
How much money did we make Last 12 months?,Sales,Total,None,train
What was the first invoice for trimming?,Invoice,Min,None,train
How much money does diego rodriguez still owe?,Sales,Total,FALSE,train
What is my lowest invoice from tony rondonuwu?,Bill,Min,None,test
How much money did we make This fiscal year?,Sales,Total,None,train
When was the last time 55 twin lane paid you?,Invoice,Max,TRUE,train
How much money did we make Last fiscal year?,Sales,Total,None,train
How much money did we make Last month?,Sales,Total,None,train
What are my total sales by product?,Sales,Total,None,train
When was the last time we billed for design,Invoice,Max,None,test
What was the first invoice for sonnenschein family store?,Invoice,Min,None,train
What were our total payroll expenses Last quarter?,Expense,Total,None,train
What was the first invoice for barnett design?,Invoice,Min,None,train
What was the most recent invoice for wedding planning by whitney?,Invoice,Max,None,train
What is the balance owed by geeta kalapatapu?,Sales,Total,FALSE,test
What's the total number of invoices we've issued to sushi by katsuyuki?,Invoice,Count,None,train
Show all of gevelber photography's transactions,Invoice,Count,None,train
What was the mean invoice amount for penalties?,Sales,Average,None,train
How much did I spend This month?,Expense,Total,None,train
What is my first invoice from diego's road warrior bodyshop?,Bill,Min,None,test
What is my highest bill for diego's road warrior bodyshop?,Bill,Max,None,train
What was the mean invoice I received from tony rondonuwu?,Bill,Average,None,test
How many dukes basketball camp invoices are still outstanding?,Invoice,Count,FALSE,test
What is my min invoice from diego's road warrior bodyshop?,Bill,Min,None,test
What's the total number of invoices we've issued gevelber photography?,Invoice,Count,None,train
How much did we pay e the Last 30 days?,Expense,Total,TRUE,train
What is my min revenue for mark cho in the This week?,Sales,Min,None,train
How much have we been spending on job material?,Expense,Total,None,train
What was the first invoice for diego rodriguez?,Invoice,Min,None,train
How much did we pay hall properties the yesterday?,Expense,Total,TRUE,train
"Since Last 12 months, how many invoices have been past due?",Invoice,Count,FALSE,train
Number of invoices created for building repairs?,Invoice,Count,None,train
What is my max invoice from met life dental?,Bill,Max,None,test
What was the first invoice for mark cho?,Invoice,Min,None,train
What was our smallest expense Last month?,Expense,Min,None,train
What is my min revenue for video games by dan in the This quarter?,Sales,Min,None,train
How many lighting did I sell This quarter?,Invoice,Count,None,train
"As of Last 12 months, how many invoices for kookies by kathy were still outstanding?",Invoice,Count,FALSE,test
What was our biggest expense This week?,Expense,Max,None,train
How much we received from equipment rental in This quarter?,Invoice,Total,None,train
How many invoices have we sent to pye's cakes?,Invoice,Count,None,test
What are my mean sales by product?,Sales,Average,None,train
What was our total spend for pg&e in the This month?,Expense,Total,None,train
What is diego rodriguez credit for This fiscal year?,Sales,Total,FALSE,train
"Last fiscal year, how many invoices have been paid?",Invoice,Count,TRUE,train
When was the last time we billed for design,Invoice,Max,None,test
What's the average contract size for the Sales team?,Sales,Average,None,train
"In the This month to date, what has been my max revenue from red rock diner?",Sales,Max,None,test
What were our total payroll expenses This month?,Expense,Total,None,train
What were my outgoings during the today?,Expense,Total,None,train
Show number of transactions with travis waldron,Invoice,Count,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
What was the first invoice for jeff's jalopy?,Invoice,Min,None,train
How much did I spend yesterday?,Expense,Total,None,train
What were our total payroll expenses This fiscal year?,Expense,Total,None,train
What are my AR Last quarter?,Account Receivables,Total,None,train
What were my expenses in the This fiscal year to date?,Expense,Total,None,train
What was the max invoice amount for fountain and garden lighting?,Sales,Max,None,train
How much has mark cho been paying us each month?,Sales,Total,None,train
What are the names of my outstanding creditors?,Invoice,List,FALSE,train
"Last 30 days, what are my account receivable?",Account Receivables,Total,None,train
How many invoices were paid This month to date?,Invoice,Count,TRUE,train
What is my total sales for 0969 ocean view road in the This week?,Sales,Total,None,test
What was the total invoice amount for travel in Last year?,Sales,Total,None,train
What was our biggest expense Last fiscal year?,Expense,Max,None,train
How many invoices have we sent to cool car?,Invoice,Count,None,test
What is 55 twin lane credit for Last quarter?,Sales,Total,FALSE,train
How much did we pay norton lumber and building materials the This fiscal year to date?,Expense,Total,TRUE,train
How much money did we spend on net expenses?,Expense,Total,None,train
What are my account receivable Last fiscal year?,Account Receivables,Total,None,train
"This month, what are my account receivable?",Account Receivables,Total,None,train
When was the first time we billed for building repair?,Expense,Min,None,train
Show how many transactions you've had with sushi by katsuyuki,Invoice,Count,None,test
What was the highest invoice I received from pam seitz?,Bill,Max,None,test
What were my expenses in the This week to date?,Expense,Total,None,train
How much credit does dylan sollfrank have This week to date,Sales,Total,FALSE,test
"As of This year to date, how many invoices for shara barnett were still outstanding?",Invoice,Count,FALSE,test
What are my AR Last 12 months?,Account Receivables,Total,None,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
How much money have we paid to hicks hardware This fiscal year to date?,Expense,Total,TRUE,train
